Continent ,Region ,Country names
ASIA,Eastern Asia,Japan
ASIA,Western Asia,Jordan
ASIA,Central Asia,Kazakhstan
AFRICA,Eastern Africa,Kenya
OCEANIA,Micronesia,Kiribati
ASIA,Eastern Asia,"Korea, Dem. People’s Rep."
ASIA,Eastern Asia,"Korea, Rep."
EUROPE,NON EU28,Kosovo
ASIA,Western Asia,Kuwait
ASIA,Central Asia,Kyrgyz Republic
ASIA,South eastern Asia,Lao PDR
EUROPE,EU28,Latvia
ASIA,Western Asia,Lebanon
AFRICA,Southern Africa,Lesotho
AFRICA,Western Africa,Liberia
AFRICA,Northen africa,Libya
EUROPE,NON EU28,Liechtenstein
EUROPE,EU28,Lithuania
EUROPE,EU28,Luxembourg
ASIA,Eastern Asia,"Macao SAR, China"
EUROPE,NON EU28,"Macedonia, FYR"
AFRICA,Eastern Africa,Madagascar
AFRICA,Eastern Africa,Malawi
ASIA,South eastern Asia,Malaysia
ASIA,Southern Asia,Maldives
AFRICA,Western Africa,Mali
EUROPE,EU28,Malta
OCEANIA,Micronesia,Marshall Islands
AFRICA,Western Africa,Mauritania
AFRICA,Eastern Africa,Mauritius
AMERICA,Central America,Mexico
OCEANIA,Micronesia,"Micronesia, Fed. Sts."
EUROPE,NON EU28,Moldova
EUROPE,NON EU28,Monaco
ASIA,Eastern Asia,Mongolia
EUROPE,NON EU28,Montenegro
AFRICA,Northen africa,Morocco
AFRICA,Eastern Africa,Mozambique
ASIA,South eastern Asia,Myanmar
AFRICA,Southern Africa,Namibia
OCEANIA,Micronesia,Nauru
ASIA,Southern Asia,Nepal
EUROPE,EU28,Netherlands
OCEANIA,Melanesia,New Caledonia
OCEANIA,Australia and New Zealand,New Zealand
AMERICA,Central America,Nicaragua
AFRICA,Western Africa,Niger
AFRICA,Western Africa,Nigeria
OCEANIA,Micronesia,Northern Mariana Islands
EUROPE,NON EU28,Norway
ASIA,Western Asia,Oman
ASIA,Southern Asia,Pakistan
OCEANIA,Micronesia,Palau
AMERICA,Central America,Panama
OCEANIA,Melanesia,Papua New Guinea
AMERICA,South america,Paraguay
AMERICA,South america,Peru
ASIA,South eastern Asia,Philippines
EUROPE,EU28,Poland
EUROPE,EU28,Portugal
AMERICA,Caribbean,Puerto Rico
ASIA,Western Asia,Qatar
EUROPE,EU28,Romania
EUROPE,NON EU28,Russian Federation
AFRICA,Eastern Africa,Rwanda
OCEANIA,Polynesia,Samoa
EUROPE,NON EU28,San Marino
AFRICA,Middle Africa,Sao Tome and Principe
ASIA,Western Asia,Saudi Arabia
AFRICA,Western Africa,Senegal
EUROPE,NON EU28,Serbia
AFRICA,Eastern Africa,Seychelles
AFRICA,Western Africa,Sierra Leone
ASIA,South eastern Asia,Singapore
AMERICA,Caribbean,Sint Maarten (Dutch part)
EUROPE,EU28,Slovak Republic
EUROPE,EU28,Slovenia
OCEANIA,Melanesia,Solomon Islands
AFRICA,Eastern Africa,Somalia
AFRICA,Southern Africa,South Africa
AFRICA,Eastern Africa,South Sudan
EUROPE,EU28,Spain
ASIA,Southern Asia,Sri Lanka
AMERICA,Caribbean,St. Kitts and Nevis
AMERICA,Caribbean,St. Lucia
AMERICA,Caribbean,St. Martin (French part)
AMERICA,Caribbean,St. Vincent and the Grenadines
AFRICA,Northen africa,Sudan
AMERICA,South america,Suriname
EUROPE,EU28,Sweden
EUROPE,NON EU28,Switzerland
ASIA,Western Asia,Syrian Arab Republic
ASIA,Central Asia,Tajikistan
AFRICA,Eastern Africa,Tanzania
ASIA,South eastern Asia,Thailand
ASIA,South eastern Asia,Timor-Leste
AFRICA,Western Africa,Togo
OCEANIA,Polynesia,Tonga
AMERICA,Caribbean,Trinidad and Tobago
AFRICA,Northen africa,Tunisia
ASIA,Western Asia,Turkey
ASIA,Central Asia,Turkmenistan
AMERICA,Caribbean,Turks and Caicos Islands
OCEANIA,Polynesia,Tuvalu
AFRICA,Eastern Africa,Uganda
EUROPE,NON EU28,Ukraine
ASIA,Western Asia,United Arab Emirates
EUROPE,EU28,United Kingdom
AMERICA,Northen America,United States
AMERICA,South america,Uruguay
ASIA,Central Asia,Uzbekistan
OCEANIA,Melanesia,Vanuatu
AMERICA,South america,"Venezuela, RB"
ASIA,South eastern Asia,Vietnam
AMERICA,Caribbean,Virgin Islands (U.S.)
ASIA,Western Asia,West Bank and Gaza
ASIA,Western Asia,"Yemen, Rep."
AFRICA,Eastern Africa,Zambia
AFRICA,Eastern Africa,Zimbabwe
